ID,AverageWidth,AverageThickness,AverageBondLine,Height,MomentOfInertia,ModulusOfElasticity,Compliance,Lambda,k,InitialCrack,PreCrackDiff,InitiationLoad,InitiationDispl,NormLength,Adhesive Out Time ,Prep.-to-Bond Time ,Surface Preperation ,Contaminate Type,Contamination Amount ,Gic,MeanGr,AdjWork,%Laminate,%Interfacial,%Cohesive,Failure Modes,%Laminate,%Interfacial,%Cohesive,R
5-009-1,0.999191286,0.231753844,0.018177937,0.106022243,9.74E-05,13647641.75,0.006208731,18.32647915,106977244.9,2.472747491,3.006743488,46.65593821,0.288403013,3.160001386,381434.8087,2.270680156,P & S,Na T,32113.85788,6.153178659,4.3929833,9.766559587,24,1,75,2,30,45,25,2
5-009-2,0.998806892,0.228884137,0.017894136,0.105111062,9.85E-05,17826096.8,0.006271683,11.01581236,89972369.08,3.331343893,4.247138621,25.59248285,0.334652871,3.189465587,381434.8087,2.270680156,P & S,Na T,32113.85788,0.107686583,1.574123213,6.636476657,29,1,70,3,20,50,30,2
5-009-3,1.000407511,0.230433821,0.015305373,0.106659347,0.000100114,17034704.33,0.00641945,4.628668556,35533415.69,2.431060173,2.452962072,23.57120505,0.250588817,2.055171172,381434.8087,2.270680156,P & S,Na T,32113.85788,0.105604611,3.560775581,1.783436826,19,1,80,3,20,30,50,2
5-009-4,0.997620297,0.225063903,0.015011249,0.10582439,9.75E-05,17933709.93,0.00623271,11.42542819,95469740.66,2.436147532,2.380583896,37.64729567,0.326279327,2.910021401,381434.8087,2.270680156,P & S,Na T,32113.85788,0.610884349,10.4165463,4.978420658,19,1,80,1,50,5,45,2
5-009-5,0.998997506,0.229800366,0.01657293,0.105691992,0.000101501,18948259.05,0.00619097,9.843680558,121420040.8,2.889357608,3.243677049,26.04650108,0.145841305,3.010537153,381434.8087,2.270680156,P & S,Na T,32113.85788,2.655284397,7.573379621,6.334419994,19,1,80,3,34,1,65,2
5-009-6,1.000231173,0.225395619,0.018348828,0.104819075,9.85E-05,17620355.11,0.006099308,4.781048547,149244792.2,2.848937449,2.060182389,15.41153553,0.36826245,3.275908122,381434.8087,2.270680156,P & S,Na T,32113.85788,3.929967741,2.281710972,7.033101047,19,1,80,3,29,1,70,2
5-010-1,0.998513413,0.225923456,0.01256557,0.103820118,9.83E-05,16771112.17,0.005590002,11.14698905,62414055.29,2.960188909,1.123552828,29.13539413,0.258324383,3.010201753,381434.8335,2.347745664,P & S,Na T,16056.92894,4.546431825,3.104302461,8.491694296,59,1,40,2,34,1,65,2
5-010-2,0.999100811,0.232032562,0.01819322,0.105309087,9.92E-05,14324174.71,0.006386867,3.402533204,52073479.26,2.693126977,2.582739238,32.54307414,0.320416986,3.418700505,381434.8335,2.347745664,P & S,Na T,16056.92894,5.739653203,4.078953089,7.481617513,40,25,35,2,34,1,65,2
5-010-3,0.99696004,0.234674587,0.014215616,0.106036153,0.000102907,17919442.93,0.006236031,9.173346607,45918622.08,2.679523635,2.059750253,32.99892689,0.202186679,2.706441116,381434.8335,2.347745664,P & S,Na T,16056.92894,6.076230349,10.25029912,5.872464139,20,30,50,3,24,1,75,2
5-010-4,0.999753635,0.225705268,0.013575832,0.104504322,9.81E-05,16998720.4,0.005933991,8.151157418,151156531.7,2.235597842,1.306670702,34.73294209,0.173965942,2.092913287,381434.8335,2.347745664,P & S,Na T,16056.92894,10.7632091,5.627643795,5.815479915,30,45,25,1,10,80,10,2
5-010-5,0.998562915,0.226356953,0.018400912,0.105767117,9.85E-05,19451763.55,0.005821321,11.89105937,32542452.54,2.793379561,3.469152699,22.0172015,0.278083115,2.774737664,381434.8335,2.347745664,P & S,Na T,16056.92894,5.593846221,8.654232536,13.97087962,20,50,30,2,10,80,10,2
5-010-6,0.999182983,0.227129924,0.015915693,0.106086478,0.00010235,15717354.16,0.006219912,9.949010283,73622692.57,2.77734433,0.691569101,31.6012906,0.382751282,2.852539858,381434.8335,2.347745664,P & S,Na T,16056.92894,7.346003159,4.638082619,6.594210545,20,30,50,2,0,65,35,2
5-011-1,1.001591467,0.235173997,0.015309469,0.108519361,9.82E-05,17956173.91,0.005840177,13.64883184,85072636.8,2.972032516,2.354111055,19.3594437,0.519878307,2.620742271,381434.7977,2.310130357,P & S,Oct,23933.46427,3.288667574,2.09014394,4.509468026,50,5,45,3,10,80,10,2
5-011-2,0.999835444,0.223130207,0.019211326,0.105323111,0.000102168,17663848.11,0.006299596,9.237725126,40754387.9,2.718962804,3.478903444,34.20526891,0.20466552,2.870042821,381434.7977,2.310130357,P & S,Oct,23933.46427,14.26116468,5.117684177,1.928407904,34,1,65,3,0,50,50,2
5-011-3,0.999902551,0.224331708,0.013763524,0.108631928,9.53E-05,15854029.69,0.006341748,8.860579322,5920087.616,2.574637289,2.891564326,13.67738251,0.295054396,2.743856957,381434.7977,2.310130357,P & S,Oct,23933.46427,1.030295172,12.13430421,9.661721012,29,1,70,3,5,50,45,2
5-011-4,0.998777452,0.227248142,0.020841867,0.105395182,0.000100346,15876387.27,0.006252436,9.992357193,120279972.8,2.21894171,1.77872837,26.89033229,0.367711813,2.955765961,381434.7977,2.310130357,P & S,Oct,23933.46427,1.856439639,2.606323858,8.742305713,34,1,65,3,0,0,100,2
5-011-5,0.999340888,0.226579939,0.016182006,0.107157578,9.76E-05,15936030.41,0.005885612,8.078950964,53074035.04,2.932770354,2.853865345,38.11487023,0.236946485,2.61047363,381434.7977,2.310130357,P & S,Oct,23933.46427,6.483945808,4.090172175,9.432688477,34,1,65,1,0,0,100,2
5-011-6,0.999999492,0.232125798,0.020399426,0.105260205,0.000103071,16526406.59,0.005821411,11.21519356,243667683.4,2.309753591,3.314340018,46.67327839,0.05565617,3.302237263,381434.7977,2.310130357,P & S,Oct,23933.46427,3.704885678,6.677182389,4.760776072,24,1,75,3,0,0,100,2
5-012-1,1.00000814,0.230404562,0.012921704,0.106141191,0.00010186,14190499.51,0.006834359,6.921080604,135941040.8,2.466757007,1.04646323,31.08159288,0.287238862,2.679734761,381434.8225,2.361507363,P & S,Oct,10637.6824,3.494405541,0.988774958,4.966273968,10,80,10,2,0,0,100,2
5-012-2,1.00025893,0.233574056,0.020084082,0.105736936,9.83E-05,19046013.77,0.006672583,15.89292563,115225534.4,2.873860618,2.478553095,41.37666079,0.472234724,2.627535735,381434.8225,2.361507363,P & S,Oct,10637.6824,2.449088808,1.514707376,0.591416529,10,80,10,2,0,0,100,2
5-012-3,0.999142306,0.235749848,0.024328603,0.106454448,0.000100914,17785430.19,0.006305309,11.73078561,49409871.93,2.516732299,1.528953314,37.13369668,0.230661114,3.250231604,381434.8225,2.361507363,P & S,Oct,10637.6824,2.002652663,4.844968006,7.294095472,0,65,35,2,0,0,100,2
5-012-4,1.001713499,0.231345656,0.017620902,0.105307113,9.60E-05,19788653.74,0.006093138,8.110429522,142333639.7,2.399072366,2.304077562,34.15107618,0.288324358,2.665698612,381434.8225,2.361507363,P & S,Oct,10637.6824,11.0216451,13.8947656,1.568453124,10,80,10,2,0,0,100,2
5-012-5,1.000457314,0.226624599,0.018233471,0.105797704,0.000100663,18080633.38,0.006557724,12.04185768,133024513.5,2.702295629,1.915724241,22.20977729,0.334199037,2.578969416,381434.8225,2.361507363,P & S,Oct,10637.6824,8.035154581,6.079865739,8.046900144,0,50,50,1,0,0,100,2
5-012-6,0.99785385,0.229509969,0.01573955,0.106331521,9.65E-05,19196157.3,0.006290731,12.07708163,110692657.1,2.774928674,2.36132228,24.08454312,0.180044732,2.759907408,381434.8225,2.361507363,P & S,Oct,10637.6824,10.43604924,5.101389353,3.707319934,5,50,45,1,0,0,100,2
